sn,location_raw,latitude,longitude,PH,EC,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,SO4,NO3,F,U_ppb,sample_date,NDVI,NDWI,Distance_to_Industry_km,Industrial_flag,hotspot_label,rain_actual_24h,rain_normal_24h,rain_pdn
83.0,Coimbatore Velampalayam,11.1447,77.3094,7.4,564.0,180.0,40.0,19.0,41.0,3.0,0.0,140.0,78.0,51.0,4.0,0.11,1.22,2022-05-01,0.332,0.333,11.32,0,0,7.2,21.4,-66.36
84.0,Cuddalore Abathanapuram,11.5821,79.5534,7.44,848.0,300.0,56.0,39.0,55.0,2.0,0.0,366.0,74.0,38.4,22.0,0.34,12.32,2022-05-01,0.144,0.392,68.95,0,1,13.0,16.3,-20.25
,(Kilmungiladi),11.5561,79.4578,7.45,766.0,210.0,40.0,27.0,74.0,9.0,0.0,146.0,110.0,52.8,62.0,0.9,0.08,2022-05-01,0.318,0.292,70.49,0,2,2.5,18.1,-86.19
86.0,Cuddalore Anathanampettai,11.6068,79.6351,7.38,883.0,310.0,48.0,46.0,53.0,8.0,0.0,244.0,67.0,57.6,124.0,0.4,23.54,2022-05-01,0.328,-0.093,68.74,0,2,17.8,23.0,-22.61
87.0,Cuddalore Arasadikuppam,11.6147,79.6614,7.4,1420.0,290.0,52.0,39.0,184.0,25.0,0.0,305.0,213.0,96.0,81.0,0.57,5.18,2022-05-01,0.611,0.129,68.96,0,2,10.1,13.0,-22.31
88.0,Cuddalore C.Keeranur EW,11.7625,79.5524,7.5,1165.0,380.0,124.0,17.0,94.0,14.0,0.0,275.0,177.0,91.2,37.0,0.6,35.27,2022-05-01,0.546,0.262,49.47,0,1,9.0,11.5,-21.74
89.0,Cuddalore Chidambaram New,11.3996,79.6944,7.46,1219.0,390.0,48.0,66.0,99.0,1.0,0.0,183.0,71.0,336.0,22.0,0.32,2.15,2022-05-01,0.721,-0.038,92.63,0,1,11.7,5.2,125.0
,(Seshambadi),11.3919,79.7072,7.23,1000.0,320.0,52.0,46.0,81.0,5.0,0.0,214.0,89.0,144.0,62.0,1.2,0.07,2022-05-01,0.431,0.145,93.9,0,2,12.5,21.5,-41.86
91.0,Cuddalore Gandhinagar -NLC arch gate,11.6177,79.554,7.44,947.0,320.0,76.0,32.0,74.0,8.0,0.0,281.0,82.0,96.0,52.0,0.07,0.84,2022-05-01,0.184,-0.077,65.09,0,2,1.4,21.0,-93.33
,(Thirumandangudi),11.4342,79.5533,7.2,800.0,300.0,96.0,15.0,41.0,8.0,0.0,195.0,106.0,52.8,37.0,0.53,0.02,2022-05-01,0.599,-0.045,85.09,0,1,13.7,7.1,92.96
93.0,Cuddalore Iruppu ii,11.5036,79.6325,7.5,1160.0,420.0,116.0,32.0,71.0,10.0,0.0,250.0,142.0,144.0,58.0,0.62,34.46,2022-05-01,0.633,0.178,79.55,0,2,4.8,16.5,-70.91
94.0,Cuddalore Karunguli,11.5223,79.5256,7.11,611.0,200.0,64.0,10.0,34.0,25.0,0.0,73.0,106.0,72.0,31.0,0.04,3.24,2022-05-01,0.493,-0.007,74.95,0,1,14.3,14.3,0.0
95.0,Cuddalore Kattiyankuppam -I,11.6661,79.6524,7.6,725.0,235.0,76.0,11.0,64.0,5.0,0.0,275.0,67.0,50.88,31.0,1.04,3.38,2022-05-01,0.64,0.297,63.31,0,1,16.5,7.4,122.97
96.0,Cuddalore Kattumannakudi,11.2872,79.5517,7.38,1471.0,400.0,44.0,70.0,145.0,10.0,0.0,366.0,177.0,120.0,68.0,0.44,4.6,2022-05-01,0.446,0.383,91.33,0,2,16.1,24.6,-34.55
97.0,Cuddalore Kattusagai(n),11.5228,79.6534,7.5,1015.0,340.0,50.0,52.0,69.0,10.0,0.0,214.0,152.0,57.6,68.0,0.9,1.38,2022-05-01,0.466,0.46,78.22,0,2,11.1,9.3,19.35
98.0,Cuddalore Kattuvegakollai,11.6475,79.6392,7.01,946.0,320.0,72.0,34.0,60.0,10.0,0.0,305.0,92.0,24.0,68.0,0.19,0.71,2022-05-01,0.399,0.04,64.66,0,2,10.4,6.3,65.08
99.0,Cuddalore Keelpuvanikuppam,11.6013,79.7191,7.3,836.0,265.0,36.0,43.0,69.0,5.0,0.0,244.0,53.0,100.8,56.0,0.58,5.25,2022-05-01,0.118,0.017,72.94,0,2,2.9,16.9,-82.84
100.0,Cuddalore Killai,11.6161,79.8028,7.39,1215.0,365.0,36.0,67.0,113.0,5.0,0.0,378.0,177.0,57.6,6.0,0.06,0.8,2022-05-01,0.176,-0.027,68.32,0,0,15.5,19.8,-21.72
101.0,Cuddalore Kodandaramapuram,11.0667,79.7573,7.6,1815.0,410.0,36.0,78.0,230.0,10.0,0.0,214.0,312.0,268.8,20.0,0.61,3.95,2022-05-01,0.122,0.346,82.66,0,1,5.4,5.6,-3.57
102.0,Cuddalore Komaratchi,11.5514,79.8072,7.55,886.0,300.0,48.0,44.0,64.0,9.0,0.0,183.0,71.0,144.0,74.0,0.39,10.38,2022-05-01,0.545,0.395,74.53,0,2,9.9,18.2,-45.6
103.0,Cuddalore Kopuvanur,11.6156,79.1378,7.45,1396.0,405.0,40.0,74.0,122.0,14.0,0.0,360.0,199.0,48.0,68.0,0.37,10.53,2022-05-01,0.32,-0.078,59.58,0,2,5.7,15.6,-63.46
104.0,Cuddalore Kudikkadu I,11.7436,79.6403,7.6,960.0,255.0,32.0,43.0,92.0,14.0,0.0,73.0,160.0,168.0,16.0,0.22,0.19,2022-05-01,0.456,0.555,54.91,0,0,2.7,7.1,-61.97
105.0,Cuddalore Kundiamallur,11.5269,79.6517,7.36,1398.0,410.0,60.0,63.0,120.0,15.0,0.0,92.0,160.0,288.0,74.0,0.04,12.42,2022-05-01,0.735,-0.064,77.72,0,2,12.6,8.5,48.24
106.0,Cuddalore Kurinjipadi,11.5638,79.5865,7.71,165.0,55.0,16.0,4.0,12.0,0.0,0.0,37.0,18.0,10.08,19.0,0.78,4.85,2022-05-01,0.275,0.279,71.75,0,0,1.1,16.4,-93.29
107.0,Cuddalore Maa Podaiyur,12.2581,80.2275,7.9,1104.0,310.0,88.0,22.0,99.0,24.0,0.0,415.0,57.0,105.6,31.0,1.33,20.91,2022-05-01,0.387,0.396,18.57,0,1,15.0,10.9,37.61
108.0,Cuddalore Mangalur,11.6194,79.5586,7.7,900.0,245.0,48.0,30.0,92.0,10.0,0.0,403.0,7.0,100.8,19.0,0.86,0.76,2022-05-01,0.629,0.51,65.02,0,0,6.4,23.8,-73.11
109.0,Cuddalore Manjakuppam,11.7644,79.7647,7.3,660.0,215.0,60.0,16.0,46.0,4.0,0.0,153.0,74.0,57.6,51.0,1.47,0.32,2022-05-01,0.26,0.4,56.96,0,2,0.0,21.4,-100.0
110.0,Cuddalore Marungur -I,11.4931,79.6015,7.6,860.0,245.0,36.0,38.0,74.0,10.0,0.0,73.0,78.0,220.8,14.0,0.33,5.25,2022-05-01,0.154,0.461,79.76,0,0,10.2,24.7,-58.7
111.0,Cuddalore Maruthur -II,11.7759,79.6733,7.8,775.0,215.0,36.0,30.0,69.0,14.0,0.0,262.0,71.0,62.4,11.0,0.84,4.05,2022-05-01,0.303,0.138,53.46,0,0,0.9,10.2,-91.18
112.0,Cuddalore Nadiyapattu,11.6647,79.4041,7.38,978.0,260.0,62.0,26.0,104.0,4.0,0.0,153.0,142.0,115.2,50.0,0.15,0.3,2022-05-01,0.213,0.47,58.42,0,2,5.5,24.4,-77.46
113.0,Cuddalore Nadutitu,11.6392,79.7474,7.37,128.0,50.0,14.0,4.0,7.0,0.0,0.0,24.0,11.0,14.4,16.0,0.25,0.57,2022-05-01,0.751,-0.044,69.27,0,0,14.1,13.6,3.68
